source,steam_id,name,release_date,year,is_free,price,currency,metacritic,recommendations,genres,developers,publishers,estimated_copies,price_usd,gross_revenue_est_usd,primary_genre,dev_location
steam,1743470.0,Dirty Wars: September 11,12 SEP 2023,2023,False,3000.0,CLP,,0,"Acción, Aventura, Indie, Estrategia","Uglycat Studios, Sudaka Games",Uglycat Studios,0,3.16,0.0,Acción,Chile (General)
steam,1774060.0,Gematombe,28 ABR 2023,2023,False,8300.0,CLP,,0,"Casual, Indie, Estrategia",Route 5 Games,Ratalaika Games S.L.,0,8.74,0.0,Casual,Chile (General)
steam,1860150.0,Operation8 Project,16 JUN 2022,2022,True,0.0,CLP,,0,"Acción, Free to Play, Multijugador masivo",Benzitczo Studio,Lovatto Studio,0,0.0,0.0,Acción,Chile (General)
steam,1902060.0,Hoverise Rebellion,Próximamente,Unknown,False,0.0,CLP,,0,"Acción, Indie, Estrategia",Zeak Games,Zeak Games,0,0.0,0.0,Acción,Chile (General)
steam,1903280.0,Heroes of The Sacred Tree,10 MAR 2022,2022,False,6400.0,CLP,,0,"Acción, Aventura, Indie",Animas Games,Animas Games,0,6.74,0.0,Acción,Chile (General)
steam,1967150.0,Re:Agent,Próximamente,Unknown,False,0.0,CLP,,0,"Acción, Aventura, Indie",Time Hunters Studios,Time Hunters Studios,0,0.0,0.0,Acción,Santiago
steam,1985980.0,Genimas: Life reborn,Próximamente,Unknown,False,0.0,CLP,,0,"Acción, Aventura, Indie, Rol, Acceso anticipado",Trialis Studios,Trialis Studios,0,0.0,0.0,Acción,Chile (General)
steam,2091810.0,Logic Circuit: Marble Puzzle,3 AGO 2022,2022,False,4500.0,CLP,,0,"Casual, Indie","Chocolate Beast, TBM SP",TBM SP,0,4.74,0.0,Casual,Chile (General)
steam,2097890.0,Skull Island: Rise of Kong,17 OCT 2023,2023,False,19000.0,CLP,,137,"Acción, Aventura",IguanaBee,GameMill Entertainment,5480,20.0,109600.0,Acción,Santiago
steam,2119010.0,Jet & Sky,Por confirmarse,Unknown,False,0.0,CLP,,0,"Acción, Indie, Deportes",Sudaka Games,Starseed Forest,0,0.0,0.0,Acción,Chile (General)
steam,215690.0,Zeno Clash 2,30 ABR 2013,2013,False,6400.0,CLP,,709,"Acción, Indie",ACE Team,SEGA,28360,6.74,191146.4,Acción,Santiago
steam,22200.0,Zeno Clash,21 ABR 2009,2009,False,4000.0,CLP,77.0,2094,"Acción, Indie",ACE Team,ACE Team,83760,4.21,352629.6,Acción,Santiago
steam,22230.0,Rock of Ages,7 SEP 2011,2011,False,4400.0,CLP,74.0,3209,"Acción, Indie, Carreras, Estrategia",ACE Team,SEGA,128360,4.63,594306.7999999999,Acción,Santiago
steam,2223460.0,Last Eclipse,25 MAR 2025,2025,False,7300.0,CLP,,0,"Acción, Indie",Animas Games,Animas Games,0,7.68,0.0,Acción,Chile (General)
steam,2233420.0,Sinner's Tavern,Por confirmarse,Unknown,False,0.0,CLP,,0,"Acción, Aventura, Indie",WoolCat Games,WoolCat Games,0,0.0,0.0,Acción,Chile (General)
steam,2242440.0,SPELLRAIN,Por confirmarse,Unknown,False,0.0,CLP,,0,"Acción, Aventura, Indie, Rol",Slime Team,Slime Team,0,0.0,0.0,Acción,Chile (General)
steam,2301240.0,Mutter,Próximamente,Unknown,False,0.0,CLP,,0,"Acción, Aventura, Indie",DeadlyCrow Games,DeadlyCrow Games,0,0.0,0.0,Acción,Chile (General)
steam,2309880.0,ZOMBI ROCKSTAR,21 MAY 2023,2023,False,5750.0,CLP,,0,"Acción, Aventura, Casual, Indie",SoulBattery,MUVIRON SpA,0,6.05,0.0,Acción,Chile (General)
steam,2363570.0,Rise of Jericho,8 JUN 2023,2023,False,7990.0,CLP,,0,Estrategia,Sudaka Games,Starseed Forest,0,8.41,0.0,Estrategia,Chile (General)
steam,2373720.0,Mix the Forgotten,Por confirmarse,Unknown,False,0.0,CLP,,0,"Acción, Aventura, Indie, Simuladores",Abstract Digital,Abstract Digital,0,0.0,0.0,Acción,Santiago
steam,2424230.0,Locuras en el Banaverso,8 NOV 2024,2024,False,7000.0,CLP,,0,"Acción, Aventura, Casual, Indie",Newvicon Ltd,Newvicon Ltd,0,7.37,0.0,Acción,Chile (General)
steam,2432860.0,MENACE,5 FEB 2026,2026,False,14925.0,CLP,,4048,"Rol, Simuladores, Estrategia, Acceso anticipado",Overhype Studios,Hooded Horse,161920,15.71,2543763.2,Rol,Chile (General)
steam,2464280.0,Tormented Souls 2,23 OCT 2025,2025,False,15500.0,CLP,78.0,1329,"Acción, Aventura",Dual Effect,PQube,53160,16.32,867571.2000000001,Acción,Santiago
steam,2488940.0,Afterlife Gladiator,5 NOV 2024,2024,False,5750.0,CLP,,0,"Indie, Rol",BakarLabs,BakarLabs,0,6.05,0.0,Indie,Chile (General)
steam,2521510.0,PartySaur: Dino Mayhem,Próximamente,Unknown,False,0.0,CLP,,0,"Acción, Casual, Indie, Acceso anticipado",DireGrin Studio,DireGrin Studio,0,0.0,0.0,Acción,Chile (General)
steam,255070.0,Abyss Odyssey,15 JUL 2014,2014,False,6400.0,CLP,69.0,1265,"Acción, Aventura, Indie",ACE Team,SEGA,50600,6.74,341044.0,Acción,Santiago
steam,2697180.0,Ink of Fate,Próximamente,Unknown,False,0.0,CLP,,0,"Aventura, Indie",Cloud Creatures Studios,Cloud Creatures Studios,0,0.0,0.0,Aventura,Chile (General)
steam,2716400.0,The Rise of the Golden Idol,12 NOV 2024,2024,False,10500.0,CLP,,3390,"Aventura, Indie",Color Gray Games,Playstack,135600,11.05,1498380.0,Aventura,Chile (General)
steam,2722400.0,Orphans,18 ABR 2025,2025,False,9200.0,CLP,,0,"Aventura, Indie",Infinity Gears Studios,Infinity Gears Studios,0,9.68,0.0,Aventura,Chile (General)
